event_name,Year,Season,City,Games
Boxing Men's Lightweight,2016,Summer,Rio de Janeiro,2016 Summer
Judo Men's Half-Middleweight,2016,Summer,Rio de Janeiro,2016 Summer
"Shooting Men's Air Pistol, 10 metres",2008,Summer,Beijing,2008 Summer
Weightlifting Men's Middleweight,2012,Summer,London,2012 Summer
Weightlifting Men's Middleweight,2016,Summer,Rio de Janeiro,2016 Summer
"Athletics Men's 1,500 metres",2008,Summer,Beijing,2008 Summer
Football Men's Football,1984,Summer,Los Angeles,1984 Summer
Weightlifting Men's Light-Heavyweight,2012,Summer,London,2012 Summer
Weightlifting Men's Middle-Heavyweight,2016,Summer,Rio de Janeiro,2016 Summer
"Athletics Men's 5,000 metres",1952,Summer,Helsinki,1952 Summer
"Shooting Men's Air Rifle, 10 metres",2004,Summer,Athina,2004 Summer
"Shooting Men's Air Rifle, 10 metres",2008,Summer,Beijing,2008 Summer
Football Men's Football,2016,Summer,Rio de Janeiro,2016 Summer
Synchronized Swimming Women's Team,2016,Summer,Rio de Janeiro,2016 Summer
"Wrestling Men's Lightweight, Greco-Roman",2012,Summer,London,2012 Summer
Judo Men's Extra-Lightweight,2016,Summer,Rio de Janeiro,2016 Summer
Athletics Men's Javelin Throw,2012,Summer,London,2012 Summer
Gymnastics Men's Individual All-Around,2000,Summer,Sydney,2000 Summer
Gymnastics Men's Horse Vault,2000,Summer,Sydney,2000 Summer
Gymnastics Men's Parallel Bars,2000,Summer,Sydney,2000 Summer
Gymnastics Men's Rings,2000,Summer,Sydney,2000 Summer
Gymnastics Men's Pommelled Horse,2000,Summer,Sydney,2000 Summer
"Athletics Men's 5,000 metres",1980,Summer,Moskva,1980 Summer
Athletics Men's 800 metres,1992,Summer,Barcelona,1992 Summer
Volleyball Women's Volleyball,2008,Summer,Beijing,2008 Summer
Volleyball Women's Volleyball,2012,Summer,London,2012 Summer
"Wrestling Men's Welterweight, Greco-Roman",2012,Summer,London,2012 Summer
"Wrestling Men's Middleweight, Greco-Roman",2016,Summer,Rio de Janeiro,2016 Summer
